Name of Product/Game,Release Date,Inflation from that month
Apple 3.5 Drive,1994-05-16,0.035587000000000035
Apple 410 Color Plotter,1991-03-01,0.0012520000000000309
Apple 5.25 Drive,1994-07-18,0.05035799999999968
Apple AudioVision 14 Display,2006-09-06,0.006679000000000546
"Apple Color Plus 14"" Display",2009-09-09,0.10975599999999996
Apple Color Printer,2003-06-23,0.0676070000000002
Apple ColorMonitor IIc,1993-06-23,0.07856200000000024
Apple ColorMonitor IIe,1993-06-01,0.07856200000000024
Apple Daisy Wheel Printer,1986-01-16,0.008955999999999964
Apple Design Powered Speakers,2005-08-02,0.09107600000000016
Apple Dot Matrix Printer,1985-09-01,0.03429799999999994
Apple FDHD SuperDrive,1997-04-21,0.11249600000000015
Apple Hard Disk 20SC,1994-04-25,0.009945000000000093
Apple High-Resolution Monochrome Display,1997-03-07,0.03334500000000018
Apple I,1981-09-01,0.005079999999999751
Apple II,1981-12-01,0.03352699999999986
Apple II EuroPlus,1983-01-19,0.03180300000000025
Apple II J-Plus,1983-12-01,0.006016999999999717
Apple II Plus,1983-01-01,0.03180300000000025
Apple IIGS,1994-02-28,0.03925799999999979
"Apple IIGS (1 MB, ROM 3)",1997-11-10,0.011556999999999817
Apple III,1984-05-01,0.004184000000000188
Apple III Plus,1987-01-01,0.00347799999999987
Apple III Revised,1985-06-01,0.030518000000000045
Apple IIc,1989-08-01,0.029366000000000225
Apple IIc Memory Expansion,1994-03-14,0.06183000000000005
Apple IIc Plus,1996-02-15,0.04614000000000029
Apple IIe,1986-04-14,0.003182999999999936
Apple IIe Card,1998-08-15,0.10542999999999969
Apple IIe Enhanced,1992-10-19,0.0901320000000001
Apple IIe Platinum,1995-02-23,0.006113000000000035
Apple ImageWriter,1987-03-02,0.0006399999999999739
Apple ImageWriter II,1993-01-01,0.08584900000000006
Apple ImageWriter Wide Carriage,1991-07-01,0.048146000000000466
Apple LaserWriter,1992-08-03,0.14868800000000038
Apple Lisa,1986-09-15,0.02611399999999997
Apple Lisa 2,1987-08-01,0.004769000000000023
Apple LocalTalk Connector,1992-09-14,0.0494880000000002
Apple Macintosh Portrait Display,1997-02-17,0.030032999999999976
Apple Monochrome Monitor,1994-11-03,0.060344000000000175
Apple Mouse IIc,1989-10-01,0.03133600000000025
Apple Multiple Scan 14 Display,2019-05-28,0.01793699999999987
Apple Multiple Scan 15 Display,2014-10-22,0.08905200000000058
Apple Network Server 500,2020-04-24,0.17754000000000048
Apple Network Server 700/150,2020-09-18,0.07780899999999846
"Apple PC 5.25"" Drive",1995-06-01,0.011271999999999949
Apple Performa Plus Display,2002-01-07,0.13621299999999925
Apple ProFile,1985-04-01,0.012845999999999913
Apple QuickTake 100,2010-06-24,0.17215800000000048
Apple Scanner,1996-01-11,0.04376000000000024
Apple Scribe Printer,1989-09-20,0.008472000000000035
Apple SilenType,1984-04-01,0.0331579999999998
Apple Tape Backup 40SC,1995-06-19,0.011271999999999949
Apple Two Page Monochrome Monitor,1996-04-01,0.0624340000000001
Apple UniDisk,1993-02-10,0.09764699999999982
Apple UniDisk 3.5,1993-06-07,0.07856200000000024
AppleCD SC,1995-08-28,0.019135000000000346
AppleColor 100,1992-03-23,0.06709900000000024
AppleColor Composite Monitor,1994-12-01,0.060344000000000175
AppleColor High-Resolution RGB Monitor,1995-05-01,0.0657110000000003
AppleColor RGB Monitor,1994-09-01,0.09029599999999993
AppleVision 1710,2019-03-18,0.008573000000000164
Bell & Howell,1984-01-01,0.033968
Bell & Howell Disk II,1984-01-24,0.033968
Color LaserWriter 12/600,2017-11-03,0.02349899999999927
Color StyleWriter 1500,2020-11-13,0.1046510000000005
Color StyleWriter 2200,2017-12-14,0.02349899999999927
Color StyleWriter 2400,2015-04-24,0.061652999999999736
Color StyleWriter 2500,2020-11-16,0.1046510000000005
Disk II,1982-10-01,0.022961999999999927
Disk III,1985-03-01,0.01088
Disk IIc,1990-03-19,0.03286399999999956
DuoDisk,1990-10-15,0.03118199999999982
ImageWriter LQ,1995-05-15,0.0657110000000003
LaserWriter,1995-08-07,0.019135000000000346
LaserWriter 12/640PS,2022-10-07,0.06393700000000102
LaserWriter 16/600 PS,2015-07-15,0.2189400000000017
LaserWriter 4/600 PS,2017-09-22,0.028679000000000343
LaserWriter Pro 600,2003-09-16,0.16812700000000014
LaserWriter Pro 630,2003-10-22,0.010003999999999902
LaserWriter Pro 810,2007-09-05,0.3212419999999998
LaserWriter Select 300,2004-07-19,0.03308
LaserWriter Select 310,2004-08-31,0.14124000000000025
LaserWriter Select 360,2007-08-07,0.05338400000000032
Macintosh (128K),1988-01-01,0.01992399999999983
Macintosh 128K (revised),1992-03-01,0.06709900000000024
Macintosh 512K,1991-10-21,0.0332899999999996
Macintosh 512Ke,1994-02-01,0.03925799999999979
Macintosh 800K External Drive,1993-07-26,0.005203999999999986
Macintosh Centris/Quadra 610,2004-01-08,0.13682400000000028
Macintosh Centris/Quadra 650,2004-06-07,0.03446600000000011
Macintosh Centris/Quadra 660AV,2006-07-13,0.14271500000000037
Macintosh Classic,1998-03-17,0.08975399999999967
Macintosh Classic II,1999-08-31,0.025285000000000224
Macintosh Color Classic,2004-01-06,0.13682400000000028
Macintosh Color Classic II,2008-03-17,0.24325499999999955
Macintosh External Disk Drive (400K),1989-01-19,0.10486899999999988
Macintosh Hard Disk 20,1993-03-22,0.003445999999999838
Macintosh II,1995-04-03,0.09811200000000042
Macintosh IIci,1997-05-08,0.11530799999999974
Macintosh IIcx,1996-02-26,0.04614000000000029
Macintosh IIfx,1998-01-31,0.04212399999999983
Macintosh IIsi,1998-05-06,0.02899900000000022
Macintosh IIvi,2002-04-29,0.11052599999999968
Macintosh IIvx,2002-05-14,0.2677860000000001
Macintosh IIx,1996-02-17,0.04614000000000029
Macintosh LC,1998-03-02,0.08975399999999967
Macintosh LC 520,2006-04-24,0.20804000000000045
Macintosh LC 550,2009-10-20,0.09299200000000063
Macintosh LC 575,2010-04-03,0.16290300000000002
Macintosh LC 580,2016-09-16,0.15214099999999942
Macintosh LC 630,2015-09-09,0.2743379999999993
Macintosh LC II,2001-01-09,0.010871999999999993
Macintosh LC III,2003-11-18,0.08935300000000002
Macintosh LC III+,2008-02-26,0.12521100000000107
Macintosh Plus,1993-06-28,0.07856200000000024
Macintosh Plus (Platinum),1995-01-28,0.04985499999999998
Macintosh Portable,1997-08-05,0.08314399999999988
Macintosh Quadra 700,1999-09-01,0.08183499999999988
Macintosh Quadra 900,1999-10-05,0.04187999999999992
Macintosh Quadra 950,2001-05-01,0.14677099999999976
Macintosh SE,1995-04-01,0.09811200000000042
Macintosh SE FDHD,1997-03-20,0.03334500000000018
Macintosh SE/30,1996-02-19,0.04614000000000029
Macintosh TV,2008-02-29,0.12521100000000107
Macintosh XL,1992-05-18,0.040850000000000275
Modem IIB,1984-06-01,0.0060949999999999616
Modems,1989-03-07,0.03172600000000014
Monitor II,1985-01-01,0.014405999999999919
Monitor III,1984-12-01,0.0039359999999999395
Newton Message Pad,2007-03-21,0.13579700000000106
Personal LaserWriter 300,2006-02-14,0.18995000000000006
Personal LaserWriter 320,2008-01-15,0.44370900000000013
Personal LaserWriter LS,1999-01-05,0.031016000000000155
Personal LaserWriter NT,1999-07-21,0.008079000000000391
Personal LaserWriter NTR,2000-09-13,0.015393999999999686
Pippin,2015-09-25,0.2743379999999993
Portable StyleWriter,2006-02-28,0.18995000000000006
Power Macintosh 5200 LC,2016-10-28,0.07235899999999873
Power Macintosh 5260,2022-03-18,0.21120299999999936
Power Macintosh 5300 LC,2019-09-25,0.09563100000000002
Power Macintosh 5400,2020-10-23,0.13015800000000066
Power Macintosh 6100,2011-07-20,0.0009860000000001534
Power Macintosh 6200,2017-03-24,0.000946999999999143
Power Macintosh 6200 / 6300,2015-10-13,0.15101999999999993
Power Macintosh 6300,2022-10-26,0.06393700000000102
Power Macintosh 6400,2023-02-03,0.9341200000000001
Power Macintosh 7100,2011-10-14,0.4307420000000004
Power Macintosh 7200,2018-03-27,0.12192599999999931
Power Macintosh 7200/120 PC Compatible,2022-09-16,1.017786000000001
Power Macintosh 7215,2019-12-10,0.20869600000000066
Power Macintosh 7500,2018-09-21,0.003604999999998526
Power Macintosh 7600,2021-05-21,0.1324809999999994
Power Macintosh 8100,2012-03-16,0.04789499999999958
Power Macintosh 8115,2015-11-11,0.024645999999999724
Power Macintosh 8200,2022-09-23,1.017786000000001
Power Macintosh 8500,2018-10-26,0.13563900000000118
Power Macintosh 8515,2020-03-18,0.49965999999999955
Power Macintosh 9500,2018-02-09,0.3246539999999989
PowerBook 100,1999-10-13,0.04187999999999992
PowerBook 140,2000-02-16,0.0868559999999996
PowerBook 145,2001-07-18,0.0817190000000001
PowerBook 145b,2005-10-12,0.08787900000000004
PowerBook 150,2014-09-19,0.0017930000000001556
PowerBook 160,2002-07-17,0.10881900000000044
PowerBook 165,2007-06-29,0.10271900000000045
PowerBook 165c,2004-06-28,0.03446600000000011
PowerBook 170,2000-07-19,0.047104000000000035
PowerBook 180,2002-08-13,0.20222400000000018
PowerBook 180c,2006-01-10,0.11586600000000047
PowerBook 190,2019-08-20,0.3240060000000007
PowerBook 520c,2012-11-02,0.13495599999999985
PowerBook 5300,2019-09-20,0.09563100000000002
PowerBook 540c,2012-11-16,0.13495599999999985
PowerBook 550,2013-06-10,0.2370190000000001
PowerBook Duo 210,2002-08-27,0.20222400000000018
PowerBook Duo 230,2003-01-07,0.0011099999999997223
PowerBook Duo 2300c,2019-10-30,0.5703870000000002
PowerBook Duo 250,2009-03-03,0.11728499999999986
PowerBook Duo 270c,2009-06-19,0.03986099999999926
PowerBook Duo 280,2013-09-20,0.2110239999999992
PowerBook Duo 280c,2013-11-01,0.07622199999999957
PowerBook Duo Dock II,2013-11-12,0.07622199999999957
PowerBook Duo Dock Plus,2017-06-05,0.0845229999999999
PowerCD,2005-09-07,0.03807699999999947
Powerbook Duo Dock,2003-02-10,0.06675599999999982
Printer IIA,1984-09-10,0.010712999999999973
Printers,1993-07-29,0.005203999999999986
Quadra 605,2008-07-11,0.06633599999999884
Quadra 610,2008-09-09,0.15941099999999953
Quadra 610 DOS Compatible,2011-03-11,0.04264499999999938
Quadra 630,2014-06-26,0.0027959999999991325
Quadra 650,2008-10-14,0.1173820000000001
Quadra 800,2004-06-09,0.03446600000000011
Quadra 840AV,2006-08-07,0.029633000000000465
StyleWriter,1999-05-10,0.01714299999999991
StyleWriter 1200,2016-03-31,0.37826800000000116
StyleWriter II,2003-04-28,0.33089199999999996
Workgroup Server 60,2006-05-16,0.29563799999999985
Workgroup Server 6150,2012-09-12,0.31805099999999964
Workgroup Server 7250,2020-12-15,0.1046510000000005
Workgroup Server 80,2004-09-26,0.10459999999999958
Workgroup Server 8150,2012-09-21,0.31805099999999964
Workgroup Server 8550,2021-04-30,0.24120099999999933
Workgroup Server 9150,2012-10-11,0.11901199999999967
Workgroup Server 95,2005-01-11,0.009098000000000273
Mario Bros.,1983-03-14,0.008591999999999933
Mario's Cement Factory,1983-04-28,0.018752000000000102
Mario's Bombs Away,1983-11-10,0.006016999999999717
Mario's Brewery,1983-12-31,0.006016999999999717
Mario Bros. Special,1984-08-01,0.0033929999999999794
Punch Ball Mario Bros.,1984-10-05,0.011664000000000119
Super Mario Bros.,1985-09-13,0.03429799999999994
Super Mario Bros.: The Lost Levels,1986-06-03,0.04963600000000001
Super Mario Bros. Special,1986-06-30,0.04963600000000001
I Am a Teacher: Super Mario Sweater,1986-08-27,0.021634000000000153
Super Mario Bros. 3,1988-10-23,0.034949999999999815
Super Mario Land,1989-04-21,0.006550000000000278
Dr. Mario,1990-07-27,0.08531199999999961
Super Mario World,1990-11-21,0.029710000000000125
Mario's Egg Catch Game,1990-12-31,0.029710000000000125
Mario Lemieux Hockey,1991-12-31,0.023811999999999944
Mario Roulette,1992-03-08,0.06709900000000024
Mario Teaches Typing,1992-03-24,0.06709900000000024
Super Mario Bros. & Friends: When I Grow Up,1992-07-14,0.06344299999999992
Mario Paint,1992-08-27,0.14868800000000038
Super Mario Kart,1992-10-21,0.0901320000000001
Super Mario Land 2: 6 Golden Coins,1993-01-01,0.08584900000000006
Mario Is Missing!,1993-08-27,0.04421000000000008
Mario & Wario,1993-12-31,0.025727000000000277
Mario's Early Years! Fun with Letters,1994-01-21,0.07591199999999976
Mario's Time Machine,1995-01-16,0.04985499999999998
Buubuu Mario,1995-02-23,0.006113000000000035
Mario Undoukai,1995-03-14,0.059623000000000204
Mario Fighter III,1995-07-21,0.0747760000000004
Wario Land: Super Mario Land 3,1995-08-05,0.019135000000000346
Hotel Mario,1995-09-14,0.043420000000000236
Mario's Early Years! Fun with Numbers,1995-09-28,0.043420000000000236
Mario's Early Years! Preschool Fun,1996-03-09,0.07405499999999998
Mario Andretti Racing,1996-03-31,0.011620999999999881
Undake30 SameGame Daisakusen Mario Version,1996-06-23,0.12006799999999984
Mario's Game Gallery,1996-10-31,0.02606499999999956
Mario's Picross,1996-12-14,0.0015099999999996783
Mario's Tennis,1996-12-31,0.0015099999999996783
Super Mario World 2: Yoshi's Island,1997-03-14,0.03334500000000018
Mario's Super Picross,1997-03-28,0.03334500000000018
Mario Clash,1997-12-31,0.011556999999999817
Super Mario RPG: Legend of the Seven Stars,1998-12-02,0.009297000000000555
BS Super Mario USA: Power Challenge,1998-12-18,0.009297000000000555
Super Mario 64,1998-12-31,0.009297000000000555
Mario Teaches Typing 2,1999-05-20,0.01714299999999991
Mario Kart 64,1999-06-11,0.04374000000000011
Super Mario Attack,1999-12-11,0.027869000000000366
Mario Net Quest,1999-12-17,0.027869000000000366
Saber Marionette J: Battle Sabers,2000-03-23,0.06104699999999985
Super Mario World 64,2000-05-18,0.03934499999999996
Mario no Photopi,2001-04-08,0.03650500000000001
Mario Party,2001-06-28,0.23315099999999989
Super Mario Bros. 2,2001-07-21,0.0817190000000001
Mario's Memory Madness,2001-08-27,0.010047999999999835
Marionette Company,2001-12-31,0.05469900000000072
Mario Golf,2002-07-19,0.10881900000000044
Mario Artist: Paint Studio,2002-10-21,0.19521700000000042
Mario Party 2,2003-02-18,0.06675599999999982
Mario Artist: Talent Studio,2003-07-29,0.15111000000000052
Marionette Company 2 Chu!,2003-09-08,0.16812700000000014
Mario Artist: Communication Kit,2003-09-27,0.16812700000000014
Mario Tennis,2003-11-07,0.08935300000000002
Paper Mario,2003-11-10,0.08935300000000002
Mario Artist: Polygon Studio,2003-11-17,0.08935300000000002
Mario Party 3,2003-12-31,0.08935300000000002
Dr. Mario 64,2004-04-22,0.0645579999999999
Super Mario v1.2,2004-05-24,0.14899400000000007
Mario Kart: Super Circuit,2004-07-22,0.03308
Mario Family,2004-08-26,0.24583999999999984
Mario & Luigi,2004-10-28,0.07133199999999995
Super Mario Sunshine,2004-11-18,0.02089199999999991
Mario Party 4,2004-12-31,0.02089199999999991
Mario Party-e,2005-01-13,0.009098000000000273
Mario Golf: Toadstool Tour,2005-07-11,0.024607999999999297
Mario Forever,2005-07-14,0.024607999999999297
Mario Left the Cheese Out,2006-05-15,0.29563799999999985
Mario Kart: Double Dash!!,2006-07-22,0.14271500000000037
Mario Party 5,2006-07-27,0.14271500000000037
Mario & Luigi: Superstar Saga,2006-09-25,0.006679000000000546
Super Mario: Fushigi no Janjanland,2006-12-16,0.009024000000000587
Mario Golf: Advance Tour,2006-12-31,0.009024000000000587
Mario vs. Donkey Kong,2007-03-14,0.13579700000000106
Paper Mario: The Thousand-Year Door,2007-04-09,0.0032299999999994
Mario Pinball Land,2007-05-25,0.041822999999999944
Mario Power Tennis,2007-05-29,0.041822999999999944
Mario Party 6,2007-06-21,0.10271900000000045
Super Mario DX,2007-10-24,0.10479299999999991
Mini-Mario Factory Game!,2007-11-01,0.13813500000000012
Mario Party Advance,2007-11-06,0.13813500000000012
Mario Party 7,2007-11-08,0.13813500000000012
Dance Dance Revolution Mario Mix,2007-12-31,0.13813500000000012
Mario Superstar Baseball,2008-01-05,0.44370900000000013
Mario Sports Complex: Barrel Blast,2008-03-25,0.24325499999999955
Mario Tennis: Power Tour,2008-03-26,0.24325499999999955
Super Mario: Fushigi no Korokoro Party 2,2008-04-10,0.07741499999999935
Mario Kart Arcade GP,2008-06-19,0.17892999999999848
Super Mario: Blue Twilight DX,2008-09-30,0.15941099999999953
Mario Kart DS,2008-11-26,0.37962000000000007
Super Mario Strikers,2008-12-24,0.37962000000000007
Mario & Luigi: Partners in Time,2008-12-31,0.37962000000000007
Super Mario Strikers Advergame,2009-02-25,0.05834399999999995
Mario Party 7 Bon Voyage Quiz,2009-04-01,0.26189099999999943
Super Mario Strikers: Heads Up,2009-06-08,0.03986099999999926
Dr. Mario: Vitamin Toss,2009-06-10,0.03986099999999926
Mario Party 7: Bowser's Lair Hockey,2009-08-09,0.06156999999999968
New Super Mario Bros.,2009-09-14,0.10975599999999996
Super Mario Bros. All-Star Quest,2009-10-13,0.09299200000000063
Mario Hoops 3-on-3,2009-11-08,0.25072599999999934
Mario vs. Donkey Kong 2: March of the Minis,2009-11-12,0.25072599999999934
Super Mario War,2010-01-04,0.11783900000000003
Infinite Mario Bros.,2010-04-27,0.16290300000000002
Mario Hoops 3-on-3: Dribble Skillz,2010-05-23,0.2651520000000005
Mario vs. DK 2: Cannon Kaos,2010-11-14,0.12503699999999984
Mario Kart Arcade GP 2,2010-11-25,0.12503699999999984
Super Paper Mario,2010-12-24,0.12503699999999984
Mario Strikers Charged,2010-12-31,0.12503699999999984
Mario Party 8,2011-01-07,0.10663800000000023
Super Mario Stardust,2011-06-23,0.1370559999999985
Super Mario Bros. DDX,2011-07-19,0.0009860000000001534
Super Mario Galaxy,2011-11-03,0.1294550000000001
Mario & Sonic at the Olympic Games,2011-11-14,0.1294550000000001
